freq_Hz,Sdd11_re,Sdd11_im,Sdd21_re,Sdd21_im,Sdc11_re,Sdc11_im,Scc11_re,Scc11_im
1.122250000000000000e+10,7.671526177075177477e-02,-1.647971244881352854e-02,8.836171145460522958e-01,-6.285748050310846491e-03,1.329126023946572074e-02,-1.950995021364143600e-02,2.471627588960556565e-01,4.663164551365413246e-02
1.147187500000000000e+10,8.281082436116021794e-02,2.616005758647828999e-02,8.693284342179011803e-01,-1.354842547279689891e-01,8.058082452189675726e-03,-2.203307930358820027e-02,2.691380079370409573e-01,6.686089006759335374e-02
1.172125000000000000e+10,1.005208182111675674e-01,6.482704295853899956e-02,8.348684058052724399e-01,-2.599569703714621483e-01,2.286966212363805012e-03,-2.291478346880170686e-02,2.972018319235093520e-01,8.021215167744692731e-02
1.197062500000000000e+10,1.281479119544083611e-01,9.630876133755821022e-02,7.817351702995237739e-01,-3.760901596591667562e-01,-3.553038021589761779e-03,-2.211358375106710697e-02,3.292266944050656341e-01,8.432251303263613162e-02
1.222000000000000000e+10,1.630285714197274860e-01,1.180539813730296927e-01,7.122449750553645487e-01,-4.808468140920358902e-01,-9.007871759857895982e-03,-1.966623401083717956e-02,3.617286153201881849e-01,7.764035512658484794e-02
1.246937500000000000e+10,2.018240212795316402e-01,1.285101536771643960e-01,6.292405572104265987e-01,-5.720061174362398582e-01,-1.362532669543593811e-02,-1.572057823133236193e-02,3.905119603662003391e-01,6.033885472161837349e-02
1.271875000000000000e+10,2.409348855036612669e-01,1.272917062630917195e-01,5.357316509443887931e-01,-6.482213889877941337e-01,-1.700487861778978566e-02,-1.055511888333500459e-02,4.117888195660891482e-01,3.447098983653458515e-02
1.296812500000000000e+10,2.769237109810691599e-01,1.151561890279035882e-01,4.345828938666725372e-01,-7.089022743486208533e-01,-1.884687164472582596e-02,-4.543622504416499654e-03,4.230096854023196462e-01,3.407467314512632045e-03
1.321750000000000000e+10,3.068614055894948178e-01,9.383696432084318029e-02,3.283289859604597294e-01,-7.539865642274786728e-01,-1.895441076533643104e-02,1.895173215662750675e-03,4.231429119517375326e-01,-2.891290215016052018e-02
1.346687500000000000e+10,3.285729978592877853e-01,6.579930362923180898e-02,2.191460827129823041e-01,-7.836926342394963108e-01,-1.720452572181156367e-02,8.312155420422448482e-03,4.126132937484868757e-01,-5.857777818457871044e-02
1.371625000000000000e+10,3.407971115352849689e-01,3.396004195602168874e-02,1.089572491521924313e-01,-7.983447530714610219e-01,-1.353800185048234170e-02,1.419386867408596251e-02,3.931375176381962100e-01,-8.214002611996912284e-02
1.396562500000000000e+10,3.432705278183512676e-01,1.373312342571528233e-03,-4.026537685836578673e-04,-7.983458328072374766e-01,-8.016674029269615920e-03,1.891054964111386211e-02,3.674922376134159840e-01,-9.701567640988875696e-02
1.421500000000000000e+10,3.367098687035235960e-01,-2.912406256525122000e-02,-1.070956052556255172e-01,-7.843210124277718576e-01,-9.711704436429309181e-04,2.172327753395570174e-02,3.391059191896028668e-01,-1.018315983403524222e-01
1.446437500000000000e+10,3.226302287570765315e-01,-5.525990601668671898e-02,-2.094306521882112193e-01,-7.573298681933622323e-01,6.822889394822912595e-03,2.196943145411628384e-02,3.114646934292417124e-01,-9.650665047569247090e-02
1.471375000000000000e+10,3.030086490393637533e-01,-7.553365326905797650e-02,-3.063106546258529961e-01,-7.188385891050461662e-01,1.418011753673849469e-02,1.947161768005553975e-02,2.876839463695339827e-01,-8.191012366597773264e-02
