freq_Hz,S11_dB,S21_dB
3.203293750000000000e+08,-2.094928716965002735e+01,-3.419607399017116078e-02
3.247037500000000000e+08,-2.084376839569012674e+01,-3.416186702310430867e-02
3.290781250000000000e+08,-2.073958165343148252e+01,-3.414171652147897362e-02
3.334525000000000000e+08,-2.063670173805034835e+01,-3.413921479137087267e-02
3.378268750000000000e+08,-2.053510442406230041e+01,-3.415790548536112858e-02
3.422012500000000000e+08,-2.043476641457612075e+01,-3.420126888764745549e-02
3.465756250000000000e+08,-2.033566529149262081e+01,-3.427270748068639294e-02
3.509500000000000000e+08,-2.023777946672811368e+01,-3.437553185290161822e-02
3.553243750000000000e+08,-2.014108813453541202e+01,-3.451294700643493113e-02
3.596987500000000000e+08,-2.004557122498985677e+01,-3.468803912262507366e-02
3.640731250000000000e+08,-1.995120935870256318e+01,-3.490376284179695643e-02
3.684475000000000000e+08,-1.985798380281873676e+01,-3.516292911213624722e-02
3.728218750000000000e+08,-1.976587642835463043e+01,-3.546819366064857260e-02
3.771962500000000000e+08,-1.967486966892306910e+01,-3.582204613688642902e-02
3.815706250000000000e+08,-1.958494648089292767e+01,-3.622679997764833432e-02
3.859450000000000000e+08,-1.949609030502555029e+01,-3.668458303810567811e-02
3.903193750000000000e+08,-1.940828502962608226e+01,-3.719732903160987564e-02
3.946937500000000000e+08,-1.932151495524463769e+01,-3.776676981718619930e-02
3.990681250000000000e+08,-1.923576476095882626e+01,-3.839442856994425279e-02
4.034425000000000000e+08,-1.915101947226415291e+01,-3.908161386592137743e-02
4.078168750000000000e+08,-1.906726443059606524e+01,-3.982941470857092464e-02
4.121912500000000000e+08,-1.898448526450198059e+01,-4.063869651990277554e-02
4.165656250000000000e+08,-1.890266786247886444e+01,-4.151009811471404604e-02
4.209400000000000000e+08,-1.882179834748592384e+01,-4.244402967169185609e-02
4.253143750000000000e+08,-1.874186305313863699e+01,-4.344067171026062824e-02
4.296887500000000000e+08,-1.866284850158529096e+01,-4.449997507731116853e-02
4.340631250000000000e+08,-1.858474138306210577e+01,-4.562166194276562337e-02
4.384375000000000000e+08,-1.850752853711905033e+01,-4.680522779798523825e-02
4.428118750000000000e+08,-1.843119693550283245e+01,-4.804994444607740139e-02
4.471862500000000000e+08,-1.835573366667907180e+01,-4.935486396804789760e-02
4.515606250000000000e+08,-1.828112592197089725e+01,-5.071882364377542501e-02
4.559350000000000000e+08,-1.820736098328618624e+01,-5.214045180224297082e-02
4.603093750000000000e+08,-1.813442621240115926e+01,-5.361817457038252355e-02
4.646837500000000000e+08,-1.806230904176330299e+01,-5.515022348568009158e-02
4.690581250000000000e+08,-1.799099696677232174e+01,-5.673464393326482780e-02
4.734325000000000000e+08,-1.792047753949339750e+01,-5.836930436414116546e-02
4.778068750000000000e+08,-1.785073836375281786e+01,-6.005190624732863885e-02
4.821812500000000000e+08,-1.778176709156292290e+01,-6.177999470544197347e-02
4.865556250000000000e+08,-1.771355142081840839e+01,-6.355096977955555781e-02
4.909300000000000000e+08,-1.764607909420405463e+01,-6.536209826686385782e-02
4.953043750000000000e+08,-1.757933789925036550e+01,-6.721052607166065618e-02
4.996787500000000000e+08,-1.751331566947061091e+01,-6.909329100828096037e-02
5.040531250000000000e+08,-1.744800028651083323e+01,-7.100733599273847951e-02
5.084275000000000000e+08,-1.738337968324242411e+01,-7.294952255846147426e-02
5.128018750000000000e+08,-1.731944184772478934e+01,-7.491664463039367228e-02
5.171762500000000000e+08,-1.725617482796467073e+01,-7.690544249124602050e-02
5.215506250000000000e+08,-1.719356673739748587e+01,-7.891261687325194785e-02
5.259250000000000000e+08,-1.713160576101582677e+01,-8.093484310916450319e-02
5.302993750000000000e+08,-1.707028016206955101e+01,-8.296878527636841749e-02
5.346737500000000000e+08,-1.700957828926226156e+01,-8.501111026926473635e-02
5.390481250000000000e+08,-1.694948858436968209e+01,-8.705850173589853302e-02
5.434225000000000000e+08,-1.688999959020565100e+01,-8.910767381653647567e-02
5.477968750000000000e+08,-1.683109995886274035e+01,-9.115538462375086248e-02
5.521712500000000000e+08,-1.677277846015676843e+01,-9.319844940555836732e-02
5.565456250000000000e+08,-1.671502399020441487e+01,-9.523375333568208367e-02
5.609200000000000000e+08,-1.665782558006680603e+01,-9.725826387748304214e-02
5.652943750000000000e+08,-1.660117240439322117e+01,-9.926904267124643522e-02
5.696687500000000000e+08,-1.654505379000164567e+01,-1.012632568972304803e-01
5.740431250000000000e+08,-1.648945922433580336e+01,-1.032381900702885602e-01
5.784175000000000000e+08,-1.643437836374058847e+01,-1.051912522252839155e-01
5.827918750000000000e+08,-1.637980104150148719e+01,-1.071199894559202309e-01
5.871662500000000000e+08,-1.632571727559603758e+01,-1.090220927731670453e-01
5.915406250000000000e+08,-1.627211727610919567e+01,-1.108954062533055868e-01
5.959150000000000000e+08,-1.621899145226720407e+01,-1.127379344491886148e-01
6.002893750000000000e+08,-1.616633041904860946e+01,-1.145478490420150375e-01
6.046637500000000000e+08,-1.611412500333431552e+01,-1.163234947149341669e-01
6.090381250000000000e+08,-1.606236624956178716e+01,-1.180633942332566799e-01
6.134125000000000000e+08,-1.601104542485245830e+01,-1.197662527199312849e-01
6.177868750000000000e+08,-1.596015402358521307e+01,-1.214309611186415588e-01
6.221612500000000000e+08,-1.590968377139131107e+01,-1.230565988403665989e-01
6.265356250000000000e+08,-1.585962662855115113e+01,-1.246424355930150635e-01
6.309100000000000000e+08,-1.580997479277533557e+01,-1.261879323969325450e-01
6.352843750000000000e+08,-1.576072070135726122e+01,-1.276927417926828068e-01
6.396587500000000000e+08,-1.571185703268669975e+01,-1.291567072506306924e-01
6.440331250000000000e+08,-1.566337670711805075e+01,-1.305798617950412466e-01
6.484075000000000000e+08,-1.561527288718994377e+01,-1.319624258583609600e-01
6.527818750000000000e+08,-1.556753897719555013e+01,-1.333048043843377273e-01
6.571562500000000000e+08,-1.552016862210731318e+01,-1.346075832013007845e-01
6.615306250000000000e+08,-1.547315570586099476e+01,-1.358715246894924011e-01
6.659050000000000000e+08,-1.542649434900884131e+01,-1.370975627689917098e-01
