freq_Hz,S11_dB,S21_dB
7.752643750000000000e+08,-1.435922172788857409e+01,-1.570469121448798966e-01
7.796387500000000000e+08,-1.432028327545199176e+01,-1.581101597868141140e-01
7.840131250000000000e+08,-1.428161523945044209e+01,-1.592099412231472444e-01
7.883875000000000000e+08,-1.424321546938705296e+01,-1.603477762086602532e-01
7.927618750000000000e+08,-1.420508176906197306e+01,-1.615250206008216893e-01
7.971362500000000000e+08,-1.416721188937740017e+01,-1.627428619368205542e-01
8.015106250000000000e+08,-1.412960352174758683e+01,-1.640023158123466163e-01
8.058850000000000000e+08,-1.409225429213358183e+01,-1.653042230718280714e-01
8.102593750000000000e+08,-1.405516175571897186e+01,-1.666492478164030011e-01
8.146337500000000000e+08,-1.401832339224006319e+01,-1.680378762318561481e-01
8.190081250000000000e+08,-1.398173660198037460e+01,-1.694704162349762733e-01
8.233825000000000000e+08,-1.394539870243569446e+01,-1.709469979330257849e-01
8.277568750000000000e+08,-1.390930692565298088e+01,-1.724675748872692704e-01
8.321312500000000000e+08,-1.387345841624232534e+01,-1.740319261675938312e-01
8.365056250000000000e+08,-1.383785023005891190e+01,-1.756396591819837649e-01
8.408800000000000000e+08,-1.380247933354732481e+01,-1.772902132607050429e-01
8.452543750000000000e+08,-1.376734260373837415e+01,-1.789828639718649417e-01
8.496287500000000000e+08,-1.373243682888507422e+01,-1.807167281417218774e-01
8.540031250000000000e+08,-1.369775870972112664e+01,-1.824907695498810822e-01
8.583775000000000000e+08,-1.366330486132292421e+01,-1.843038052666701176e-01
8.627518750000000000e+08,-1.362907181555285163e+01,-1.861545125971889036e-01
8.671262500000000000e+08,-1.359505602405944025e+01,-1.880414365939186983e-01
8.715006250000000000e+08,-1.356125386180718095e+01,-1.899629980975131860e-01
8.758750000000000000e+08,-1.352766163110670661e+01,-1.919175022631962324e-01
8.802493750000000000e+08,-1.349427556611419732e+01,-1.939031475283281292e-01
8.846237500000000000e+08,-1.346109183776659179e+01,-1.959180349750889172e-01
8.889981250000000000e+08,-1.342810655911788942e+01,-1.979601780407490019e-01
8.933725000000000000e+08,-1.339531579104030357e+01,-2.000275125269426468e-01
8.977468750000000000e+08,-1.336271554825289876e+01,-2.021179068585030325e-01
9.021212500000000000e+08,-1.333030180563889999e+01,-2.042291725416485459e-01
9.064956250000000000e+08,-1.329807050481312380e+01,-2.063590747711127604e-01
9.108700000000000000e+08,-1.326601756089914019e+01,-2.085053431356416187e-01
9.152443750000000000e+08,-1.323413886947655982e+01,-2.106656823713916604e-01
9.196187500000000000e+08,-1.320243031365813025e+01,-2.128377831132869102e-01
9.239931250000000000e+08,-1.317088777125648846e+01,-2.150193325948798195e-01
9.283675000000000000e+08,-1.313950712200130866e+01,-2.172080252482899987e-01
9.327418750000000000e+08,-1.310828425476688963e+01,-2.194015731567402760e-01
9.371162500000000000e+08,-1.307721507477253553e+01,-2.215977163137480832e-01
9.414906250000000000e+08,-1.304629551071748850e+01,-2.237942326442972363e-01
9.458650000000000000e+08,-1.301552152181415067e+01,-2.259889477452461659e-01
9.502393750000000000e+08,-1.298488910468440594e+01,-2.281797443040170514e-01
9.546137500000000000e+08,-1.295439430008485360e+01,-2.303645711566692789e-01
9.589881250000000000e+08,-1.292403319942876294e+01,-2.325414519487664367e-01
9.633625000000000000e+08,-1.289380195107395366e+01,-2.347084933646439719e-01
9.677368750000000000e+08,-1.286369676634748949e+01,-2.368638928933239629e-01
9.721112500000000000e+08,-1.283371392528042954e+01,-2.390059461017971509e-01
9.764856250000000000e+08,-1.280384978202692814e+01,-2.411330533890372607e-01
9.808600000000000000e+08,-1.277410076994529753e+01,-2.432437261970762377e-01
